gene,baseMean,log2FoldChange,Direction,Endogenous_Promoter,Exogenous_Promoter
Abcc4,206.7953907,-0.595742544,DOWN,TRUE,TRUE
Abcg2,230.7975111,0.82521588,UP,FALSE,TRUE
Adamts10,501.3337017,0.901478653,UP,TRUE,TRUE
Adamtsl2,252.7886515,0.501509832,UP,TRUE,TRUE
Adgrl2,2101.578603,-1.044162283,DOWN,TRUE,TRUE
Adrb1,279.6189962,-0.604688086,DOWN,TRUE,TRUE
Ak5,2027.289279,-0.534697664,DOWN,TRUE,TRUE
Akap13,752.4410991,-0.61584926,DOWN,TRUE,TRUE
Alcam,2978.82234,-0.68807951,DOWN,TRUE,TRUE
Alk,225.9880786,-0.658133058,DOWN,TRUE,TRUE
Amigo2,143.0144648,-0.657842691,DOWN,TRUE,TRUE
Angptl6,134.2834034,0.928815804,UP,TRUE,TRUE
Ankfn1,129.7417147,-0.755853244,DOWN,TRUE,TRUE
Ankrd63,202.4696893,-0.536667607,DOWN,FALSE,TRUE
Apbb2,806.9489743,-0.518022905,DOWN,TRUE,TRUE
Arhgap10,266.520453,-0.714991184,DOWN,TRUE,TRUE
Arhgap29,118.4108741,-1.003244615,DOWN,FALSE,TRUE
Arhgap31,357.4087006,-0.690232318,DOWN,TRUE,TRUE
Arhgef28,635.0107556,-0.770076024,DOWN,FALSE,TRUE
Arxes1,1658.177247,0.554738849,UP,TRUE,FALSE
Asap2,810.2850548,-0.501042028,DOWN,TRUE,TRUE
Atp10d,98.66049707,-0.853754533,DOWN,TRUE,TRUE
AW551984,581.2864564,0.749895631,UP,FALSE,TRUE
B3galt5,292.8535816,-0.521997311,DOWN,TRUE,TRUE
Bcl2,456.7206858,-0.819809864,DOWN,TRUE,TRUE
Bcl2l11,184.3730428,-0.643241709,DOWN,TRUE,TRUE
Bcl6,283.7885729,-0.610528096,DOWN,TRUE,TRUE
Bend5,155.1324455,0.577848851,UP,FALSE,TRUE
Bnip3,2433.476117,0.676104025,UP,TRUE,TRUE
Bola2,978.5647298,0.637715963,UP,TRUE,TRUE
Bsn,5834.54647,-0.577973918,DOWN,FALSE,TRUE
Btbd3,2769.597864,-0.637075674,DOWN,TRUE,TRUE
Cacna1g,1449.883584,0.591715842,UP,TRUE,TRUE
Cadm2,3087.768276,-0.666861175,DOWN,TRUE,TRUE
Cap2,3241.927847,-0.637369413,DOWN,FALSE,TRUE
Ccdc124,2388.909685,0.544872694,UP,TRUE,TRUE
Ccdc13,112.2702358,0.711794787,UP,TRUE,TRUE
Ccl27a,866.6773024,0.523905099,UP,TRUE,TRUE
Ccser1,235.9624778,-0.53626631,DOWN,FALSE,TRUE
Cd46,238.7759835,-0.577523062,DOWN,FALSE,TRUE
Cdh12,168.2373636,-0.982096312,DOWN,TRUE,FALSE
Cdh24,208.9922422,-0.501281174,DOWN,TRUE,TRUE
Cdh4,1971.302662,-0.638931508,DOWN,FALSE,TRUE
Cdh6,412.5714792,-1.330905039,DOWN,TRUE,TRUE
Cdh8,792.6882712,-0.780702548,DOWN,FALSE,TRUE
Cdk14,2988.053035,-0.77387525,DOWN,TRUE,TRUE
Cdkl4,139.3484121,-0.744690783,DOWN,FALSE,TRUE
Cgn,176.0273102,0.683604712,UP,FALSE,TRUE
Chac1,365.2865557,0.514306611,UP,TRUE,TRUE
Chst15,387.2501403,-0.563216098,DOWN,TRUE,FALSE
Chst8,351.8825224,-0.928881711,DOWN,TRUE,FALSE
Cit,1578.851155,-0.725929154,DOWN,TRUE,TRUE
Coa4,185.1583599,0.587498572,UP,TRUE,TRUE
Cobll1,93.70268574,-0.721081472,DOWN,TRUE,TRUE
Col25a1,1176.761395,-0.950117368,DOWN,FALSE,TRUE
Col4a2,626.7838475,-0.528954069,DOWN,FALSE,TRUE
Cpm,59.47213914,-1.0173866,DOWN,TRUE,FALSE
Cpne6,1841.343593,-0.534773263,DOWN,FALSE,TRUE
Crhr2,85.6680422,0.805205696,UP,FALSE,TRUE
Crim1,1933.873925,-0.579990846,DOWN,FALSE,TRUE
Crybg3,184.6468236,-0.795510544,DOWN,FALSE,TRUE
Csrp2,237.3457204,0.778173081,UP,FALSE,TRUE
Ctdspl,357.35016,-0.57194111,DOWN,TRUE,TRUE
Cxcl12,182.8210547,-0.971031634,DOWN,FALSE,TRUE
Cyb5r1,590.1857361,0.561034631,UP,TRUE,TRUE
Dcbld2,517.2987585,-0.524502397,DOWN,TRUE,TRUE
Dcc,670.2768964,-0.6900701,DOWN,FALSE,TRUE
Dctpp1,411.6580643,0.55303317,UP,TRUE,TRUE
Ddit4,4457.335273,0.731140297,UP,TRUE,TRUE
Dennd1b,217.3181484,-0.568373886,DOWN,TRUE,FALSE
Dgkg,2640.701083,-0.612566624,DOWN,FALSE,TRUE
Dlc1,725.3342804,-0.515375979,DOWN,TRUE,TRUE
Dlgap2,965.1309537,-0.505082452,DOWN,TRUE,FALSE
Dock4,2281.053539,-0.501222761,DOWN,TRUE,TRUE
Dpy19l3,1331.753976,-0.578052468,DOWN,TRUE,TRUE
Drd1,183.055463,-0.562134652,DOWN,TRUE,TRUE
Dusp1,708.761751,0.545063584,UP,TRUE,TRUE
Dusp6,1203.336468,-0.527292363,DOWN,TRUE,TRUE
Efcc1,126.6552914,0.658520268,UP,FALSE,TRUE
Efnb1,723.5209673,0.525809881,UP,TRUE,TRUE
Eif2b3,433.6996287,0.502615128,UP,FALSE,TRUE
Eif4ebp1,373.1449833,0.568188107,UP,TRUE,TRUE
Elavl4,1655.256997,-0.511187269,DOWN,TRUE,TRUE
Emp1,124.7457676,1.235823308,UP,TRUE,TRUE
Emx1,382.4189629,0.548086724,UP,TRUE,TRUE
Enc1,14582.73395,-0.518398276,DOWN,TRUE,TRUE
Epas1,630.6807051,-0.936626419,DOWN,TRUE,TRUE
Epb41l4aos,151.6665729,0.763950753,UP,TRUE,TRUE
Epb41l4b,561.5269292,-0.689888367,DOWN,TRUE,TRUE
Epha7,1197.977402,-0.669357371,DOWN,TRUE,TRUE
Ephb1,338.5033164,-0.578318255,DOWN,TRUE,TRUE
Ephb6,906.6164751,0.568305084,UP,TRUE,TRUE
Esrrg,185.3582481,-0.701675772,DOWN,FALSE,TRUE
Etl4,782.7873489,-0.51612758,DOWN,FALSE,TRUE
Ets2,1304.14511,-0.572270644,DOWN,TRUE,TRUE
Fam13b,1045.819641,-0.513430739,DOWN,TRUE,TRUE
Fam181a,150.4894883,0.77694798,UP,TRUE,TRUE
Fam183b,57.00260365,1.363754487,UP,FALSE,TRUE
Fam43a,249.1257203,-0.53432941,DOWN,TRUE,TRUE
Fbln2,88.19735481,0.821162042,UP,FALSE,TRUE
Fbxl16,7281.764366,-0.547959741,DOWN,FALSE,TRUE
Fbxl7,75.93133922,-1.101240134,DOWN,TRUE,TRUE
Fchsd1,191.1027943,0.672705665,UP,FALSE,TRUE
Fgd6,199.707232,-0.608347229,DOWN,TRUE,TRUE
Fhl2,350.9178005,-0.615143131,DOWN,FALSE,TRUE
Fibin,64.32592773,1.048313522,UP,FALSE,TRUE
Flrt2,1328.770936,-0.543157358,DOWN,TRUE,TRUE
Fmn1,134.7771761,-0.625641559,DOWN,TRUE,TRUE
Fndc1,416.0630751,-0.886503712,DOWN,TRUE,TRUE
Fosb,433.1902386,0.71752134,UP,TRUE,TRUE
Foxo1,714.0337248,-0.686852427,DOWN,TRUE,TRUE
Fras1,492.1766358,-1.177039601,DOWN,TRUE,TRUE
Frzb,166.9883472,-0.72032915,DOWN,TRUE,TRUE
Fzd8,468.8873125,1.119012176,UP,TRUE,TRUE
Gadd45g,942.9165735,0.765247134,UP,TRUE,TRUE
Gale,207.0336541,0.541538634,UP,TRUE,TRUE
Gap43,17555.34275,0.565220118,UP,FALSE,TRUE
Gbp9,59.72411142,1.048037909,UP,TRUE,TRUE
Gch1,82.82854246,-0.896705995,DOWN,TRUE,FALSE
Gdf11,709.8836794,0.517272233,UP,FALSE,TRUE
Gem,205.2107786,0.701544684,UP,TRUE,TRUE
Gfra1,436.9602261,-0.72905365,DOWN,TRUE,TRUE
